timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
2025-01-06T00:00:00.000Z;2025-01-06T23:59:59.999Z;2025-01-06T16:30:00.000Z;2025-01-06T01:22:00.000Z;2781;98314.9569580597;102482.8739099194;97926.1485172348;102078.0855728765;51823432704.9;2021809968109.4;2025-01-06T23:59:59.999Z
2025-01-05T00:00:00.000Z;2025-01-05T23:59:59.999Z;2025-01-05T23:03:00.000Z;2025-01-05T14:21:00.000Z;2781;98233.9057765858;98813.3085544115;97291.7646063472;98314.9594436372;20525254824.64;1947189546143.58;2025-01-05T23:59:59.999Z
2025-01-04T00:00:00.000Z;2025-01-04T23:59:59.999Z;2025-01-04T21:06:00.000Z;2025-01-04T15:51:00.000Z;2781;98106.9935527892;98734.4281764666;97562.9759692776;98236.2290916657;22342608077.72;1945654462825.16;2025-01-04T23:59:59.999Z
2025-01-03T00:00:00.000Z;2025-01-03T23:59:59.999Z;2025-01-03T19:22:00.000Z;2025-01-03T08:37:00.000Z;2781;96881.7290234686;98956.9170426074;96034.6140572454;98107.4287619937;35611391162.85;1943222658412.32;2025-01-03T23:59:59.999Z
2025-01-02T00:00:00.000Z;2025-01-02T23:59:59.999Z;2025-01-02T20:25:00.000Z;2025-01-02T00:19:00.000Z;2781;94416.2865472787;97739.8168446244;94201.5704154564;96886.8782682304;46009564411.19;1918730145566.76;2025-01-02T23:59:59.999Z
2025-01-01T00:00:00.000Z;2025-01-01T23:59:59.999Z;2025-01-01T21:25:00.000Z;2025-01-01T09:28:00.000Z;2781;93425.1021360494;94929.8648089961;92788.1278846819;94419.7575054903;24519888918.84;1869850163161.44;2025-01-01T23:59:59.999Z
2024-12-31T00:00:00.000Z;2024-12-31T23:59:59.999Z;2024-12-31T14:35:00.000Z;2024-12-31T01:32:00.000Z;2781;92643.251221688;96090.6037883835;91914.0277832714;93429.2028113992;43625106842.87;1850183342119.26;2024-12-31T23:59:59.999Z
2024-12-30T00:00:00.000Z;2024-12-30T23:59:59.999Z;2024-12-30T20:25:00.000Z;2024-12-30T15:11:00.000Z;2781;93527.1974974745;94903.3238957155;91317.1354600511;92643.2146040146;56188003691.42;1834643033988.95;2024-12-30T23:59:59.999Z
2024-12-29T00:00:00.000Z;2024-12-29T23:59:59.999Z;2024-12-29T00:00:00.000Z;2024-12-29T23:12:00.000Z;2781;95174.0551172888;95174.8784017898;92881.7918699336;93530.2284378695;29635885266.64;1852119372624.09;2024-12-29T23:59:59.999Z
2024-12-28T00:00:00.000Z;2024-12-28T23:59:59.999Z;2024-12-28T22:53:00.000Z;2024-12-28T01:27:00.000Z;2781;94160.1862227031;95525.8985215209;94014.2864973319;95163.9319264048;24107436184.88;1884684226460.12;2024-12-28T23:59:59.999Z
2024-12-27T00:00:00.000Z;2024-12-27T23:59:59.999Z;2024-12-27T09:07:00.000Z;2024-12-27T17:25:00.000Z;2781;95704.9745862557;97294.8464204259;93310.7438042296;94164.8603483526;52419934565.08;1864541907464.46;2024-12-27T23:59:59.999Z
2024-12-26T00:00:00.000Z;2024-12-26T23:59:59.999Z;2024-12-26T00:11:00.000Z;2024-12-26T10:15:00.000Z;2781;99297.6970087846;99884.57216657;95137.8852950566;95795.5165975983;47054980873.26;1896937576269.02;2024-12-26T23:59:59.999Z
2024-12-25T00:00:00.000Z;2024-12-25T23:59:59.999Z;2024-12-25T23:57:00.000Z;2024-12-25T12:03:00.000Z;2781;98675.9108627628;99478.7490158499;97593.470165093;99299.1927492124;33700394629.11;1966210082590.95;2024-12-25T23:59:59.999Z
2024-12-24T00:00:00.000Z;2024-12-24T23:59:59.999Z;2024-12-24T18:18:00.000Z;2024-12-24T02:22:00.000Z;2781;94684.3475533376;99404.0613248691;93448.0139404195;98676.0973968281;47114953674.13;1953851713516.67;2024-12-24T23:59:59.999Z
2024-12-23T00:00:00.000Z;2024-12-23T23:59:59.999Z;2024-12-23T11:03:00.000Z;2024-12-23T20:17:00.000Z;2781;95099.3919548289;96416.2139282978;92403.1313832204;94686.2394384325;65239002918.62;1875314065984.88;2024-12-23T23:59:59.999Z
2024-12-22T00:00:00.000Z;2024-12-22T23:59:59.999Z;2024-12-22T00:40:00.000Z;2024-12-22T22:11:00.000Z;2781;97218.3182689266;97360.2647012436;94202.1862477336;95104.9343710597;43147981313.7;1882953315399.26;2024-12-22T23:59:59.999Z
2024-12-21T00:00:00.000Z;2024-12-21T23:59:59.999Z;2024-12-21T07:44:00.000Z;2024-12-21T13:34:00.000Z;2781;97756.1922018157;99507.0985909185;96426.5207387424;97224.7263442974;51765334293.97;1924861940275.83;2024-12-21T23:59:59.999Z
2024-12-20T00:00:00.000Z;2024-12-20T23:59:59.999Z;2024-12-20T07:13:00.000Z;2024-12-20T12:18:00.000Z;2781;97484.6973095173;98098.9113051982;92175.1804504625;97755.9301603751;105634083408.08;1935459460468.73;2024-12-20T23:59:59.999Z
2024-12-19T00:00:00.000Z;2024-12-19T23:59:59.999Z;2024-12-19T14:36:00.000Z;2024-12-19T20:14:00.000Z;2781;100070.6874289428;102748.1508466264;95587.6815019394;97490.949982775;97221662391.74;1930044053238.37;2024-12-19T23:59:59.999Z
